项目名称,成果标题
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,基于固有频率的超声疲劳裂纹扩展速率测量方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,基于热耗散的高效率原位超声疲劳实验系统及其实现方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,面心立方材料疲劳过程晶体塑性本构模型建立方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,一种非接触式多尺度裂纹识别方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,一种基于机器学习的材料抗疲劳优化设计方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,一种统一试样尺寸的超声疲劳应力放大装置
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种基于粒子群算法水库多目标供水能力优化方法
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种用于检测河道防汛水位的监测预警系统
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种基于二层结构的流域生态调度方法
基于集合降雨预报和可变模糊集的洪水预报方法研究,水量分配方案组织实施评价指标体系研究
基于集合降雨预报和可变模糊集的洪水预报方法研究,跨流域调水工程水量配置与调度耦合方法研究
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种跨流域调水工程的配置调度方法及装置
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种用于城市道路的分布式排水装置
基于集合降雨预报和可变模糊集的洪水预报方法研究,分布式堤防安全监测系统
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种用于雨水箅子的防溢流装置
基于集合降雨预报和可变模糊集的洪水预报方法研究,基于生态系统服务的水生态资产负债表研究
基于集合降雨预报和可变模糊集的洪水预报方法研究,水库汛限水位实时动态控制方案优选研究
基于集合降雨预报和可变模糊集的洪水预报方法研究,基于可变集理论的流域防洪风险评价
基于集合降雨预报和可变模糊集的洪水预报方法研究,一种用于河道建筑物的鱼嘴型防洪装置
准静态边界条件对输水系统水锤压力的影响研究,大水头变幅长引水系统水电站甩负荷导叶三段关闭规律
准静态边界条件对输水系统水锤压力的影响研究,双滑道旋流式侧壁消能竖井
准静态边界条件对输水系统水锤压力的影响研究,尾水主洞长度对抽水蓄能电站尾水管进口最小压力的影响
准静态边界条件对输水系统水锤压力的影响研究,高水头抽水蓄能电站输水系统上平段末最小压力的影响因素研究
准静态边界条件对输水系统水锤压力的影响研究,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
准静态边界条件对输水系统水锤压力的影响研究,直流式竖井结构卷吸气量及管内气压的计算方法
准静态边界条件对输水系统水锤压力的影响研究,含长连接管的调压室流量系数改进研究
准静态边界条件对输水系统水锤压力的影响研究,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
准静态边界条件对输水系统水锤压力的影响研究,可变速抽蓄机组运行转速对甩负荷过渡过程的影响
准静态边界条件对输水系统水锤压力的影响研究,一种改变城市深隧滞留气团排出位置及时间的结构
准静态边界条件对输水系统水锤压力的影响研究,混合式抽水蓄能电站过渡过程研究
准静态边界条件对输水系统水锤压力的影响研究,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
准静态边界条件对输水系统水锤压力的影响研究,一种解决高扬程输水系统正压过大的阀门操作方法
准静态边界条件对输水系统水锤压力的影响研究,设置尾水连通管的抽水蓄能电站引水发电系统小波动稳定分析
准静态边界条件对输水系统水锤压力的影响研究,一种岩塞爆破水气过渡过程水力特性的计算方法
准静态边界条件对输水系统水锤压力的影响研究,水泵水轮机反S特性对甩负荷过程压强的影响
准静态边界条件对输水系统水锤压力的影响研究,考虑长引水隧洞摩阻的水锤解析法
准静态边界条件对输水系统水锤压力的影响研究,大进气条件下真空破坏阀的模型计算方法
准静态边界条件对输水系统水锤压力的影响研究,机组导叶关闭规律对相继甩工况的影响
准静态边界条件对输水系统水锤压力的影响研究,消能箱
准静态边界条件对输水系统水锤压力的影响研究,一种基于曲柄连杆传力的竖井消能及储能装置
准静态边界条件对输水系统水锤压力的影响研究,降低吸入气体量的直流式跌水结构
准静态边界条件对输水系统水锤压力的影响研究,用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
准静态边界条件对输水系统水锤压力的影响研究,基于同伦函数的水电站小波动特征值研究
准静态边界条件对输水系统水锤压力的影响研究,气垫式水下岩塞爆破过渡过程水力特性研究
准静态边界条件对输水系统水锤压力的影响研究,考虑接力器特性的导叶关闭规律
梯形琴键堰泄流能力影响因素及其敏感性研究,窄缝消能工冲击波及水翅特性研究
梯形琴键堰泄流能力影响因素及其敏感性研究,分散式挑流消能工冲坑深度的预测方法
梯形琴键堰泄流能力影响因素及其敏感性研究,琴键堰水力特性数值模拟
中国水库大坝风险后果分析模型研究,前坪水库安全风险与成本风险协同控制技术
中国水库大坝风险后果分析模型研究,基于集对分析-可变模糊集耦合方法的溃坝环境影响评价
中国水库大坝风险后果分析模型研究,改进的集对分析法在溃坝社会影响评价中的应用
中国水库大坝风险后果分析模型研究,基于模糊集理论的土石坝开裂破坏风险分析
中国水库大坝风险后果分析模型研究,基于广义集对分析法的溃坝环境影响评价
中国水库大坝风险后果分析模型研究,一种便捷的堤坝临水侧渗漏定位装置
中国水库大坝风险后果分析模型研究,基于未确知集对联系数法的溃坝社会影响评价
中国水库大坝风险后果分析模型研究,一种水利工程水闸结构
中国水库大坝风险后果分析模型研究,溃坝风险后果研究现状与发展趋势
中国水库大坝风险后果分析模型研究,土石坝施工期安全风险—成本风险综合评价
中国水库大坝风险后果分析模型研究,基于改进可变模糊集法的溃坝生命损失评价及其应用
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种基于自更新模型的流程型生产设备产品质量预测方法
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种数字孪生驱动的数控机床刀具监控系统
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种数字孪生系统复杂任务可配置高效求解方法和系统
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种数字孪生驱动的复杂装备故障预测方法
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种数字孪生驱动的热压罐管控系统
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,基于改进类电磁机制算法的绿色柔性作业车间调度方法
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种适于制造过程规划的智能优化算法推荐方法
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,面向复杂数控装备的监测评估关键技术及标准体系
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种基于数字孪生的车间调度方法
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,面向工业互联网的制造服务协作等级协议轻量级框架研究
基于数字孪生的复杂产品生命周期能效评估理论与优化方法,一种基于机器视觉的数字孪生模型修正方法与系统
稀疏设计空间压缩原理与演进式设计智能创成方法研究,基于图数据库的机械产品数字孪生模型分层建模方法
稀疏设计空间压缩原理与演进式设计智能创成方法研究,一种基于接触加热的弯曲钞票展平装置
稀疏设计空间压缩原理与演进式设计智能创成方法研究,一种基于红外加热的弯曲钞票展平装置
稀疏设计空间压缩原理与演进式设计智能创成方法研究,面向模型重用的仿真云服务平台设计与实现
稀疏设计空间压缩原理与演进式设计智能创成方法研究,基于知识工程的船体焊接工艺研究
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,一种用于路基监测的沉降板
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,新型预应力路基水平附加应力计算的图表法
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,砂井径向排水的不均匀固结效应及简易量化方法
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,深厚软土区超长桩基压缩变形测试及分析
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,一种路基沉降监测装置
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,新型预应力路基坡面法向附加应力扩散规律分析
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,一种真空-堆载联合预压下塑料排水板地基的模型试验装置
真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究,预应力路堤附加围压场与围压增强效应
稻田水氮耦合尺度效应及其机理,湖北省晚稻灌溉定额计算参数与修订方法研究
稻田水氮耦合尺度效应及其机理,湖北省中稻灌溉定额修订研究
稻田水氮耦合尺度效应及其机理,虾稻共作灌溉定额计算方法
稻田水氮耦合尺度效应及其机理,湖北省早稻灌溉定额修订方法研究
稻田水氮耦合尺度效应及其机理,不同水肥综合调控模式下水稻生长特征_水肥利用率及氮磷流失规律
稻田水氮耦合尺度效应及其机理,湖北省农田水利工程运行维护监管现状及问题对策研究
稻田水氮耦合尺度效应及其机理,基于ORYZA_V3模型的水稻水肥综合调控模式研究
稻田水氮耦合尺度效应及其机理,基于田间管理措施的水稻节水潜力研究
稻田水氮耦合尺度效应及其机理,水稻作物系数计算方法以及水稻灌溉系统
稻田水氮耦合尺度效应及其机理,举水干流水功能区纳污能力计算研究
高拱坝施工缆机安全运行路径实时规划与智能调控,一种用于缆机吊罐入仓过程中的吊罐防摆装置和方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种混凝土坝缆机入仓轨迹规划与控制方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种基于多维信息模型的土料场开采规划方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种组合定位缆机运行监测系统
高拱坝施工缆机安全运行路径实时规划与智能调控,一种复杂形态土料场开挖量计算方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种土石坝填筑料移动补水装置及方法
高拱坝施工缆机安全运行路径实时规划与智能调控,混凝土拱坝缆机运行轨迹线规划方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种安全高效的缆机吊罐稳罐装置
高拱坝施工缆机安全运行路径实时规划与智能调控,高拱坝仓面施工时空冲突分析与调整方法研究
高拱坝施工缆机安全运行路径实时规划与智能调控,基于GPS-UWB组合定位技术的缆机施工防碰研究
高拱坝施工缆机安全运行路径实时规划与智能调控,一种大体积混凝土浇筑预防冷缝的施工控制方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种混凝土高压冲毛机械及施工方法
高拱坝施工缆机安全运行路径实时规划与智能调控,基于高拱坝坝体生长特征的缆机调度仿真研究
高拱坝施工缆机安全运行路径实时规划与智能调控,一种组合定位缆机运行监测系统和缆机防碰调控方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种大风影响下缆机吊罐摆动的风洞试验研究装置
高拱坝施工缆机安全运行路径实时规划与智能调控,建筑保温被收铺机
高拱坝施工缆机安全运行路径实时规划与智能调控,边坡开挖数字化施工与质量控制方法
高拱坝施工缆机安全运行路径实时规划与智能调控,一种大风影响下缆机吊罐摆动的风洞试验研究装置及方法
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,~(79)Se与黄铁矿反应路径模拟研究
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,2-线和6-线水铁矿对水中砷的吸附解吸行为研究
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,改性纳米零价铁去除水中Se(Ⅵ)的机理
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,不同组成有机质对土壤中砷迁移行为的影响
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,基于CiteSpace的农业领域水-能-粮纽带研究进展
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,试管清洗装置
纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制,基于XPS对硫铁矿去除SeO_3~(2-)的机理研究
带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究,一种C6H12O6水溶液淬火冷却介质及其制备方法
带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究,一种钢筋表面纳米化复合涂层及其制备方法与应用
带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究,超声喷丸对钢基体表面发黑膜耐蚀性的影响
带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究,一种中碳钢表面微纳米多尺度结构的制备方法
带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究,一种耐海水冲刷腐蚀双相不锈钢的制备方法
带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究,一种碳钢表面处理方法
基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究,一种全贯流式水轮机扭矩测量装置及方法
基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究,鱼类友好型水轮机设计研究综述
基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究,桨叶调节对轴流式水轮机甩负荷特性影响研究
基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究,一种带有渐密孔的凸型导板水车增能装置
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,具有加性时变时滞神经网络的稳定性分析
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,消声器筒体的旋转翻边装置
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,一种改进的中立型时滞系统稳定性
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,中立型四元数神经网络的稳定性分析
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,二阶凸优化不等式及加性时变时滞系统的稳定性研究
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,不等式及时滞系统的镇定性研究
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,Improved stability condition for systems with discrete distributed delay
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,广义Pythagorean模糊软集及其在医疗诊断中的应用
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,用于汽车消声器的一体式旋转操作装置
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,New stabilization criteria for neutral time-delay systems via novel inequality
具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制,新的Jensen类二重积分不等式的改进
水工混凝土早龄期热膨胀系数的多尺度预测模型,一种混凝土早龄期热膨胀系数多尺度模型的预测方法
水工混凝土早龄期热膨胀系数的多尺度预测模型,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
水工混凝土早龄期热膨胀系数的多尺度预测模型,一种硬化混凝土热膨胀系数的多尺度预测方法
降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测,一种基于径向基点插值法求解渗流自由面的优化算法
降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测,一种剑桥自钻式旁压仪钻头钻进速度测量装置
新型免疫刺激剂的设计、合成及免疫评价,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
新型免疫刺激剂的设计、合成及免疫评价,新型冠状病毒疫苗设计原理与研究进展
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,一种用于集体宿舍的污水分类过滤再利用装置
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,2-线和6-线水铁矿对水中砷的吸附解吸行为研究
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,土壤饱和导水率测定装置
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,基于用水满意度的水资源优化配置模型研究
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,山西省农业水资源与经济发展响应关系评价
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,试管清洗装置
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,基于CiteSpace的农业WEF纽带研究进展
不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究,一种新型暗盒修复支架
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,不同侧压力系数下裂隙网络岩体非线性渗流特性
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,岩体裂隙网络渗透系数方向性测试及可视化系统
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,一种用于三维裂隙岩样的水-力耦合加载装置及加载方法
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,"复杂裂隙岩体线性及非线性渗流行为的试验和数值模拟研究,青年人才托举工程"
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,一种裂隙网络剪切-两相流试验装置及试验方法
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,岩体裂隙网络渗流各向异性测试及可视化系统
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,"裂隙岩体剪切渗流特性研究,青年科技奖(金奖)"
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,一种用于裂隙网络剪切渗流试验装置及其试验方法
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,一种含天然三维裂隙类岩石试样的制作方法
基于分形理论的三维岩体裂隙网络非线性渗流机理研究,一种用于冲击试验的实时化学腐蚀装置及方法
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,沉积物重金属的随机生态风险评价模型
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于健康风险的致癌重金属灰水足迹研究
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于健康风险的改进CCME WQI模型及其应用
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,一种声波地下管道探测装置
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于地累积向量模型的湖泊沉积物重金属污染评价
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于理化-生物指标与CCMEWQI模型的水质综合评价
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于健康风险的改进内梅罗指数模型
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于灰关联分析的改进地累积指数模型
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,熵权法在地下水环境质量评价中的局限性
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于模糊可变集合理论的改进型加拿大水质指数评价方法及应用
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,基于不确定分析的改进灰水足迹模型及应用
基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究,一种小便池新型节水装置
弱刚度工件的多机械臂协调加工方法研究,一种基于四阶矩估计的工业机器人可靠性计算方法
弱刚度工件的多机械臂协调加工方法研究,基于双机械臂协作打磨系统的动力学模型设计方法
弱刚度工件的多机械臂协调加工方法研究,一种液体晃动模型参考自适应抑制运动控制方法
弱刚度工件的多机械臂协调加工方法研究,一种基于速度重配的协调机械臂多约束加工优化方法
弱刚度工件的多机械臂协调加工方法研究,一种基于神经网络的6轴机器人动力学参数辨识方法
弱刚度工件的多机械臂协调加工方法研究,基于四阶矩估计的机器人运动可靠性分析
弱刚度工件的多机械臂协调加工方法研究,一种角度可调的多自由度抛光机打磨头机构
弱刚度工件的多机械臂协调加工方法研究,不确定混沌系统间接自适应模糊最优同步控制器设计方法
弱刚度工件的多机械臂协调加工方法研究,一种基于关节能耗评估的机器人工作单元布局优化方法
弱刚度工件的多机械臂协调加工方法研究,一种岛中含湖型截面的环切刀轨连接方法
弱刚度工件的多机械臂协调加工方法研究,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
弱刚度工件的多机械臂协调加工方法研究,电极损耗分层预变形补偿方法
弱刚度工件的多机械臂协调加工方法研究,一种基于空间两点投影的机器人坐标标定方法
区域抗旱自适应能力形成机制与定量评估方法研究,基于SWAT模型的淮河上游流域设计洪水修订
区域抗旱自适应能力形成机制与定量评估方法研究,1960-2016年三峡库区极端降水事件时空变化特征
区域抗旱自适应能力形成机制与定量评估方法研究,淮河上游植被对气象干旱的响应
区域抗旱自适应能力形成机制与定量评估方法研究,一种基于Logistic的抗旱适宜供水量确定方法
区域抗旱自适应能力形成机制与定量评估方法研究,一种计算自然流域植物截流量的方法
区域抗旱自适应能力形成机制与定量评估方法研究,一种计算自然流域表面坑洼滞蓄量的方法
区域抗旱自适应能力形成机制与定量评估方法研究,三峡库区气象干旱演变特征及致灾因子危险性评价
区域抗旱自适应能力形成机制与定量评估方法研究,基于耗水视角的水资源承载能力及其支撑流域调水规模研究
区域抗旱自适应能力形成机制与定量评估方法研究,一种基于益本比函数的适宜抗旱能力分析方法
区域抗旱自适应能力形成机制与定量评估方法研究,自然流域划分法中确定子流域降雨量时空分布的方法
面向航空发动机苛刻环境光纤传感的关键科学问题研究,一种碳纤维管封装的光纤光栅压力传感器
面向航空发动机苛刻环境光纤传感的关键科学问题研究,微纳结构的耐高温法布里-珀罗腔传感结构及系统
面向航空发动机苛刻环境光纤传感的关键科学问题研究,一种螺旋形蓝宝石光纤布拉格光栅、制备方法及其应用
面向航空发动机苛刻环境光纤传感的关键科学问题研究,油气井下光纤光栅温度压力传感器
面向航空发动机苛刻环境光纤传感的关键科学问题研究,一种利用飞秒激光直写技术制备啁啾光纤光栅的方法
面向航空发动机苛刻环境光纤传感的关键科学问题研究,Research Progress on S Fiber Taper
面向航空发动机苛刻环境光纤传感的关键科学问题研究,一种S形光纤锥免疫传感器、制备方法及其应用
地下滴灌多孔出流特性及均匀度数值模型研究,确定地下滴灌管上式滴头流量及土壤水正压的测定装置
地下滴灌多孔出流特性及均匀度数值模型研究,内镶贴片式滴灌带局部水头损失试验研究
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于三维网格划分的隐私保护轨迹数据发布方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,网络中重叠社团的挖掘方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于非敏感信息分析的轨迹数据隐私保护发布
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于红外传感器的吊扇
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于信任激励和位置隐私保护的k近邻查询方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,特征化密度峰聚类的出租车热点区域提取方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种隐私保护的共享近邻密度峰聚类方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于超图结构的社交网络推荐模型构建方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种结合方向扩散的指纹方向场提取方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种隐私保护空间离群点检测方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于SVD填充的混合推荐算法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,Top-Down grid位置敏感哈希k匿名隐私保护
基于位置服务的地理社交网络模型构建及隐私保护方法研究,Geohash压缩的地图匹配方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于情感与信任的协同过滤推荐方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种面向脑网络的结构化特征选择方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于群智感知的多目标多约束路线推荐方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,群智感知中基于k-匿名的位置及数据隐私保护方法研究已勘误
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于插值点的匿名隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于区域划分的轨迹隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,连续查询语义位置隐私保护方法及系统、连续查询系统
基于位置服务的地理社交网络模型构建及隐私保护方法研究,传感器网络中基于路线的隐私保护数据聚集算法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种群智感知中基于k-匿名的位置及数据隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于Geohash的网格化位置隐私保护方法及装置
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于BP神经网络的异常轨迹检测方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种路网环境下基于隐私偏好的语义位置隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于Geohash编码的位置隐私保护算法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于公共分片子序列的轨迹离群点检测方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,障碍空间中基于并行蚁群算法的k近邻查询
基于位置服务的地理社交网络模型构建及隐私保护方法研究,面向功能性脑网络的多阈值下基于多任务的特征选择方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于U盾的Web数据存储和数据传输方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于用户情感和时间动态的旅游目的地推荐方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种隐私保护的两层传感器网络范围查询系统及方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于网络层的安全传输方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于地理社交网络的频繁位置隐私保护算法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于位置服务的分布式差分隐私推荐方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于群智感知的旅游路线个性化推荐方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于格点排列的十字绣模板识别方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于匿名的网络最短路径隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于移动通信的信任推荐模型的构建方法及其构建系统
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于局部密度和聚类中心优化的密度峰聚类方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于同态加密的隐私保护密度峰聚类方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于轨迹大数据的轨迹异常检测方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于接头暗号匿名的物联网身份认证方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于单点收益的轨迹隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,传感器网络中面向隐私保护的连续数据聚集方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于半监督学习图像聚类的数据处理方法和系统
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于优化局部抑制的轨迹数据发布隐私保护算法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于信息熵抑制的轨迹隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,路网环境下的语义多样性位置隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,面向连续查询的敏感语义位置隐私保护方案
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种群智感知中基于切片的轨迹隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于改进四叉树的差分隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,传感器网络中安全可验证的连续数据收集方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于Flickr地理标签元的旅游历史数据获取方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,社区医疗物联网隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于安全求和的移动群智感知隐私保护真值发现方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于改进KD树数据结构的隐私保护方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于数据安全的混合聚类方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,基于KD树最优投影划分的k匿名算法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种基于串行通信接口的FPGA在线验证结构和方法
基于位置服务的地理社交网络模型构建及隐私保护方法研究,一种出租车热点区域的提取方法
