项目名称,负责人,依托单位,成果标题,成果类型,成果作者
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,5.基于GLUE的土壤溶质运移参数反演及不确定性,类型：期刊论文,作者：闫一凡;李晓鹏;张佳宝;刘建立
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,6.土壤检测装置和土壤含水量及容重检测方法,类型：专利,作者：李晓鹏;何承东;刘建立;张佳宝;闫一凡
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,7.宇宙射线中子法在农田土壤水分监测中的适用性,类型：期刊论文,作者：蒋一飞;李晓鹏;宣可凡;纪景纯;贾仁浩;王灿;刘建立
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,8.激发式秸秆还田对麦季潮土团聚体中酶活性的影响,类型：期刊论文,作者：赵永超;李晓鹏;闫一凡;王一明;刘建立
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,9.融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法,类型：专利,作者：李晓鹏;赵原;刘金涛;刘建立;张佳宝
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,10.宇宙射线中子法在土壤水分监测研究中的应用进展,类型：期刊论文,作者：赵原;李晓鹏;纪景纯;邹晓娟;宣可凡;王伟鹏;刘建立
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,11.探针式土壤墒情传感器,类型：专利,作者：李晓鹏;杨坤;王晟;刘建立;张佳宝
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,12.Quantifying soil hydraulic properties and their uncertainties  by modified GLUE method,类型：期刊论文,作者：Yifan Yan;Jianli Liu;Jiabao Zhang
施用有机物料对潮土结构演变的影响机制研究,刘建立,中国科学院南京土壤研究所,13.基于FDR的无线土壤墒情检测装置,类型：专利,作者：李晓鹏;杨坤;王晟;刘建立;张佳宝
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,1.Influence of a hybrid combination of steel and polypropylene fibers on concrete toughness,类型：期刊论文,作者：Guo Hui;Jiang Linzhi;Tao Junlin;Chen Yu;Zheng Zhiqin;Jia Bin
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,2.一种建筑材料切割装置,类型：专利,作者：郭辉;冯晶晶;高艺;陈玉
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,3.一种多带隙组合调控的混凝土超材料结构及其制备方法,类型：专利,作者：郭辉;尹明升;邓妍池;孙亚斌;岳建鑫;陈玉
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,4.Preparation of impact-resistant functional polyurea coatings and effect of gamma-ray irradiation on its microstructure and performance,类型：期刊论文,作者：Guo Hui;Zhou Zirong;Gu Meng;Yu Anfeng;Ling Xiaodong;Yao Weitang
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,5.一种耐伽玛射线辐照聚脲材料及其制备方法,类型：专利,作者：郭辉;陈玉;姜欣怡;蒋林志;卢春江;凌星鹏
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,6.功能性聚脲弹性体的制备及γ射线辐照对其性能的影响,类型：期刊论文,作者：李君雅;郭辉;何川;李可天;何潘庆;姜欣怡
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,7.一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法,类型：专利,作者：郭辉;卢春江;陈玉;顾蒙;蒋林志;凌星鹏;姜欣怡
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,8.一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法,类型：专利,作者：郭辉;周自荣;陈玉
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,郭辉,西南科技大学,9.Study on protective performance of impact-resistant polyurea and its coated concrete under impact loading,类型：期刊论文,作者：Guo Hui;Du Cheng;Chen Yu;Li Dan;Hu Wenjun;Lv Xiao
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,1.Effects of different organic amendments on the soil pore structure acquired by three-dimensional investigation,类型：期刊论文,作者：Xuan Kefan;Li Xiaopeng;Yu Xiuling;Jiang Yifei;Ji Jingchun;Jia Renhao;Wang Can;Liu Jianli
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,2.宇宙射线中子法在土壤水分监测研究中的应用进展,类型：期刊论文,作者：赵原;李晓鹏;纪景纯;邹晓娟;宣可凡;王伟鹏;刘建立
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,3.基于全波段高光谱的冬小麦生长参数估算方法比较,类型：期刊论文,作者：纪景纯;刘建立;牛玉洁;宣可凡;蒋一飞;邓皓东;李晓鹏
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,4.融合无人机载激光雷达与多光谱遥感数据的冬小麦叶面积指数反演,类型：期刊论文,作者：牛玉洁;李晓鹏;张佳宝;马东豪;纪景纯;宣可凡;蒋一飞;汪春芬;邓皓东;刘建立
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,5.Optimization of Topdressing for Winter Wheat by Accurate Growth Monitoring and Improved Production Estimation,类型：期刊论文,作者：Ji Jingchun;Liu Jianli;Chen Jingjing;Niu Yujie;Xuan Kefan;Jiang Yifei;Jia Renhao;Wang Can;Li Xiaopeng
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,6.压缩感知理论在地学空间数据重构中的应用进展,类型：期刊论文,作者：王灿;李晓鹏;宣可凡;蒋一飞;纪景纯;贾仁浩;刘建立
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,7.融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法,类型：专利,作者：李晓鹏;赵原;刘金涛;刘建立;张佳宝
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,8.种植物密度测量装置和种植物密度测量方法,类型：专利,作者：李晓鹏;刘建立;张佳宝;黄珊;张苏;赵原
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,9.宇宙射线中子法在农田土壤水分监测中的适用性,类型：期刊论文,作者：蒋一飞;李晓鹏;宣可凡;纪景纯;贾仁浩;王灿;刘建立
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,李晓鹏,中国科学院南京土壤研究所,10.土壤墒情检测装置,类型：专利,作者：李晓鹏;杨坤;王晟;刘建立;张佳宝
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,1.Comparison of Photoluminescence and Scintillation Properties Between Lu2O3:Eu Single Crystal and Transparent Ceramic,类型：期刊论文,作者：Haihang Yu;Qianli Li;Changjiang Liu;Wei Jing;Xuechun Yang;Mei Yang;Rihua Mao;He Feng
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,2.Efficient energy transfer from Bi3+ to Mn2+ in CaZnOS for WLED application,类型：期刊论文,作者：Yang Yun-Ling;Yuan Jia-Yong;Fan Yu-Ting;Wan Dong-Yun;Li Qian-Li;Zhao Jing-Tai;Zhang Zhi-Jun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,"3.One Stone, Two Birds: pH and Temperature Sensitive Nitrogen Doped Carbon Dots (NCDs) for Multiple Anti-Counterfeiting and Multiple Cell Imaging",类型：期刊论文,作者：Xue-Chun Yang;Qianli LI;Ming Tang;Yun-Ling Yang;Woochul Yang;Jian-Feng Hu;Xiao-Long Pu;Jinliang Liu;Jing-Tai Zhao;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,4.Metal-Ion-Cross-Linked Nitrogen-Doped Carbon Dot Hydrogels for Dual-Spectral Detection and Extractable Removal of Divalent Heavy Metal Ions,类型：期刊论文,作者：Yang Xue-Chun;Yang Yun-Ling;Xu Meng-Meng;Liang Shan-Shan;Pu Xiao-Long;Hu Jian-Feng;Li Qian-Li;Zhao Jing-Tai;Zhang Zhi-Jun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,5.The influence of Sc substitution on the crystal structure and scintillation properties of LuBO3:Ce3+ based on a combinatorial materials chip and high-throughput XRD,类型：期刊论文,作者：Liang Shan-Shan;Huang Meng;Wang Yu;Li Qian-Li;Yang Xin-Xin;Zhao Jing-Tai;Gao Xing-Yu;Yin Guang-Zhi;Liu Qian;Zhang Zhi-Jun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,6.高显指白光PiG荧光薄膜制备与激光照明应用,类型：期刊论文,作者：袁瑞;郭钒;李慧慧;佟佳;李乾利;赵景泰;张志军
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,7.基于ZnO:In纳米棒阵列的X射线闪烁转换屏制备与性能研究,类型：期刊论文,作者：李乾利;胡亚华;马逸凡;孙志祥;王敏;刘小林;赵景泰;张志军
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,8.Influence of Annealing Temperature on the Performance of Lu2O3:Eu3+ Nanowire Arrays Synthesized by Sol-Gel Method Using AAO Template,类型：期刊论文,作者：Hu Yahua;Gu Mu;Li Qianli;Liu Xiaolin;Zhang Juannan;Huang Shiming;Liu Bo
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,9.基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法,类型：专利,作者：张志军;杨珩;李乾利;李慧慧
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,10.Hydrothermal synthesis and characterization of ZnO nanowire arrays within anodic aluminum oxide template,类型：会议论文,作者：Qianli Li;Yahua Hu;Min Zhang;Zhao Gui;Zhi-Jun Zhang;Jing-Tai Zhao
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,11.Enhanced mechanically induced red-light emitting novel mechanoluminescence materials for ultrasonic visualization and monitoring applications,类型：期刊论文,作者：Fan Yu-Ting;Yang Yun-Ling;Li Ting;Yuan Jia-Yong;Li Qian-Li;Zhao Jing-Tai;Wan Dong-Yun;Zhang Zhi-Jun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,12.2020年度博士后科学基金获得者选介,类型：奖励,作者：李乾利
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,13.通过Pr~(3+)掺杂SrZnOS实现应力发光颜色调控及其应力发光机理,类型：期刊论文,作者：李婷;杨云凌;范雨婷;袁佳勇;申玉芳;张志军
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,14.An effective heat dissipation strategy improving efficiency and thermal stability of phosphor-in-glass for high-power WLEDs,类型：期刊论文,作者：Fan Guo;Rui Yuan;Yun-Ling Yang;Jing-Tai Zhao;Hui Lin;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,15.Multiple Color Emission of Mechanoluminescence and Photoluminescence from SrZnSO: Bi3+ for Multimode Anticounterfeiting,类型：期刊论文,作者：Yun-Ling Yang;Ting Li;Fan Guo;Jia-Yong Yuan;Chong-Hao Zhang;Yu Zhou;Qian-Li Li;Dong-Yun Wan;Jing-Tai Zhao;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,"16.Recent Advances, Challenges, and Perspectives of Perovskite-based Scintillators",类型：期刊论文,作者：Huihui Li;Heng Yang;Lei Chen;Jing-Tai Zhao;Qianli Li;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,17.A novel scintillation screen for achieving high-energy ray detection with fast and full-color emission,类型：期刊论文,作者：Yang Heng;Li Huihui;Yuan Rui;Chen Junfeng;Zhao Jingtai;Wang Sheng;Liu Yufeng;Li Qianli;Zhang Zhijun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,18.Development of the ZnO:Ga nanorod arrays as an alpha particle scintillation screen for the associated particle neutron generator,类型：期刊论文,作者：Jia-Xuan Chen;Shu-Tong Hao;Zhi-Xiang Sun;Pu Zheng;Jian Tang;Yun-Ling Yang;Shao-Lin Zhang;Xiao-Lin Liu;Jing-Tai Zhao;Qian-Li Li;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,19.Self-assembly of a g-C3N4-based 3D aerogel induced by N-modified carbon dots for enhanced photocatalytic hydrogen production,类型：期刊论文,作者：Xiao-Long Pu;Xue-Chun Yang;Shan-Shan Liang;Wenzhong Wang;Jing-Tai Zhao;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,20.中子探测用闪烁材料研究进展,类型：期刊论文,作者：张泽青;李乾利;张志军;赵景泰
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,21.Water-assistant ultrahigh fluorescence enhancement in perovskite polymer-encapsulated film for flexible X-Ray scintillators,类型：期刊论文,作者：Yue Li;Qian-Li Li;Yan Li;Yun-Ling Yang;Shao-Lin Zhang;Jingtai Zhao;Jieqiong Wan;Zhijun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,"22.Regulating the trap distribution to achieve high-contrast mechanoluminescence with an extended saturation threshold through co-doping Nd3+ into CaZnOS:Bi3+,Li+",类型：期刊论文,作者：Yuan Jiayong;Yang Yunling;Yang Xuechun;Fan Yuting;Li Ting;Huang Meng;Zhang Fan;Li Qianli;Zhao Jingtai;Zhang Zhijun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,23.Lu2Si2O7:Ce纳米晶的溶胶-凝胶法合成和闪烁性能,类型：期刊论文,作者：李乾利;胡亚华;马玉彬;黄世明;顾牡;张志军;赵景泰
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,24.Development of CuI:Cl-PS composite scintillator,类型：期刊论文,作者：Shutong Hao;Xiaolin Liu;Mu Gu;Qianli Li;Meng Huang;Heng Yang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,25.Development of the ZnO:Ga microrods - epoxy composite as a scintillation screen for ultrafast X-ray detection,类型：期刊论文,作者：Qianli Li;Daolong Yang;Shutong Hao;Ran An;Rui Yuan;Yunling Yang;Xunchun Yang;Meng Huang;Zhijun Zhang;Xiaolin Liu;Jingtai Zhao
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,"26.Ultrahigh Spatial Resolution, Fast Decay, and Stable X-Ray Scintillation Screen through Assembling CsPbBr3 Nanocrystals Arrays in Anodized Aluminum Oxide",类型：期刊论文,作者：Li Huihui;Yang Heng;Yuan Rui;Sun Zhixiang;Yang Yunling;Zhao Jingtai;Li Qianli;Zhang Zhijun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,"27.Significant enhancement of scintillation performance by inducing oxygen vacancies in alkali metal ion (A+ = Li+, Na+, K+)-incorporated (Lu, Sc)BO3:Ce",类型：期刊论文,作者：Yun-Ling Yang;Jia-Xuan Chen;Fan Guo;Meng Huang;Shan-Shan Liang;Qian-Li Li;Jian-Feng Hu;Jing-Tai Zhao;Xingyu Gao;Ya-Nan Fu;Hui Lin;Shuai Cheng;Zhi-Jun Zhang
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,28.像素化结构的ZnO:Ga纳米棒阵列α粒子闪烁屏,类型：会议论文,作者：李乾利;陈家璇;程佳会;张志军
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,"29.Time-Resolved Bright Red to Cyan Color Tunable Mechanoluminescence from CaZnOS: Bi3+, Mn2+ for Anti-Counterfeiting Device and Stress Sensor",类型：期刊论文,作者：Yang Yun-Ling;Yang Xue-Chun;Yuan Jia-Yong;Li Ting;Fan Yu-Ting;Wang Lin;Deng Zheng;Li Qian-Li;Wan Dong-Yun;Zhao Jing-Tai;Zhang Zhi-Jun
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,李乾利,上海大学,30.Improved Phase Stability and Enhanced Luminescence of Calcite Phase LuBO3:Ce3+through Ga3+Incorporation,类型：期刊论文,作者：Meng Huang;Qianli Li;Rui Yuan;Xuechun Yang;Guangzhi Yin;Xinxin Yang;Jianfeng Hu;Xingyu Gao;Zheng Deng;Lin Wang;Jingtai Zhao;Zhijun Zhang
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,1.Ultralong tumor retention of theranostic nanoparticles with short peptide-enabled active tumor homing,类型：期刊论文,作者：Li Lihua;Lu Yao;Lin Zefeng;Mao Angelina S.;Jiao Ju;Zhu Ye;Jiang Chunyan;Yang Zhongmin;Peng Mingying;Mao Chuanbin
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,2.Identification of GPC3 mutation and upregulation in a multidrug resistant osteosarcoma and its spheroids as therapeutic target,类型：期刊论文,作者：Nie Jun-Hua;Yang Tao;Li Hong;Ye Hai-Shan;Zhong Guo-Qing;Li Ting-Ting;Zhang Chi;Huang Wen-Han;Xiao Jin;Li Zhi;He Jian-Li;Du Bo-Le;Zhang Yu;Liu Jia
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,"3.Integrating 3D Printing and Biomimetic Mineralization for Personalized Enhanced Osteogenesis, Angiogenesis, and Osteointegration",类型：期刊论文,作者：Ma Limin;Wang Xiaolan;Zhao Naru;Zhu Ye;Qiu Zhiye;Li Qingtao;Zhou Ye;Lin Zefeng;Li Xiang;Zeng Xiaolong;Xia Hong;Zhong Shizhen;Zhang Yu;Wang Yingjun;Mao Chuanbin
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,4.微波消融治疗肿瘤免疫效应研究进展,类型：期刊论文,作者：陈玲玲;林泽枫;张余
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,5.微波消融辅助治疗股骨近端巨细胞瘤的应用研究,类型：期刊论文,作者：柯晋;陈玲玲;陈旭琼;张余
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,6.Molecular and cellular mechanisms for zoledronic acid-loaded magnesium-strontium alloys to inhibit giant cell tumors of bone,类型：期刊论文,作者：Li Mei;Wang Weidan;Zhu Ye;Lu Yao;Wan Peng;Yang Ke;Zhang Yu;Mao Chuanbin
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,7.Exploration of TiO2 nanoparticle mediated microdynamic therapy on cancer treatment,类型：期刊论文,作者：Chu Xiao;Mao Liang;Johnson Omar;Li Kang;Phan Jonathan;Yin Qingshui;Li Lihua;Zhang Junying;Chen Wei;Zhang Yu
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,8.Nitrogen-containing bisphosphonate-loaded micro-arc oxidationcoating for biodegradable magnesium alloy pellets inhibitsosteosarcoma through targeting of the mevalonate pathway,类型：期刊论文,作者：Li Mei;Yao mengyu;Wang weidan;Wan Peng;Chu xiao;Zheng Yufeng;Yang Ke;Zhang yu
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,9.影像引导下经皮微波消融治疗骨转移癌性疼痛,类型：期刊论文,作者：柯晋;张余;陈旭琼;陈玲玲;姚孟宇
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,10.Kinematic features in patients with lateral discoid meniscus injury during walking,类型：期刊论文,作者：Lin Zefeng;Huang Wenhan;Ma Limin;Chen Lingling;Huang Zhiqiang;Zeng Xiaolong;Xia Hong;Zhang Yu
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,11.一种可降解铋基微波诊疗试剂及其制备方法和应用,类型：专利,作者：李世美;孟宪伟;谭龙飞;任湘菱;吴琼;付长慧
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,12.微波消融在四肢骨巨细胞瘤合并病理性骨折治疗中的应用,类型：期刊论文,作者：柯晋;陈玲玲;陈旭琼;陈辉强;姚孟宇;曾小龙;王鸣;马立敏;张余
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,13.微波消融治疗肿瘤的免疫效应研究进展,类型：期刊论文,作者：周洁龙;程实;张余
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,14.Enhancing Osteosarcoma Killing and CT Imaging Using Ultrahigh Drug Loading and NIR-Responsive Bismuth Sulfide@Mesoporous Silica Nanoparticles,类型：期刊论文,作者：Lu Yao;Li Lihua;Lin Zefeng;Li Mei;Hu Xiaoming;Zhang Yu;Peng Mingying;Xia Hong;Han Gang
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,15.Noncompressible Hemostasis and Bone Regeneration Induced by an Absorbable Bioadhesive Self-Healing Hydrogel,类型：期刊论文,作者：Huang Weijuan;Cheng Shi;Wang Xiaolan;Zhang Yu;Chen Lingyun;Zhang Lina
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,16.肿瘤亲骨转移与代谢适应性研究进展,类型：期刊论文,作者：邵宏伟;纪雄发;张余
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,17.一种用于微波动力治疗肿瘤的微球及其制备方法和应用,类型：专利,作者：孟宪伟;夏娜;谭龙飞;付长慧;吴琼;任湘菱
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,张余,南方医科大学,18.Rubbery Chitosan/Carrageenan Hydrogels Constructed through an Electroneutrality System and Their Potential Application as Cartilage Scaffolds,类型：期刊论文,作者：Liang Xichao;Wang Xiaolan;Xu Qi;Lu Yao;Zhang Yu;Xia Hong;Lu Ang;Zhang Lina
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,1.岩石空心圆柱扭剪仪(工装机),类型：专利,作者：周辉;姜玥;卢景景;黄磊;张传庆;胡大伟;高阳;陈珺
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,2.岩石拉压双面剪切试验装置,类型：专利,作者：周辉;陈珺;卢景景;张传庆;胡大伟;姜玥
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,3.不同应力路径下灰砂岩力学特性与强度参数研究,类型：期刊论文,作者：姜玥;周辉;卢景景;张传庆;高阳;陈珺
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,4.一种裂隙试样制备方法,类型：专利,作者：卢景景;谢业统;周辉;张传庆;胡大伟;龚春艳;韩钢
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,5.Development of a Hollow Cylinder Torsional Apparatus for Rock,类型：期刊论文,作者：Zhou Hui;Jiang Yue;Lu Jingjing;Gao Yang;Chen Jun
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,6.Key Blasting Parameters for Deep-Hole Excavation in an Underground Tunnel of Phosphorite Mine,类型：期刊论文,作者：Chai Xiu-wei;Shi Sha-sha;Yan Yao-feng;Li Jian-guo;Zhang Long
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,7.实现地质探测的组合式TBM及地质探测掘进方法,类型：专利,作者：卢景景;龚春艳;周辉;张传庆;杨凡杰;胡大伟;高阳;杨艳霜
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,8.Ring Shear and Seepage-Coupled apparatus and Ring Shear and Seepage-Coupled Test System for Rock and Rock Fracture under Tension or Compression Stress,类型：专利,作者：Hui Zhou;Yue Jiang;Jingjing Lu;Chuanqing Zhang;Dawei Hu;Yang Gao;Fanjie Yang;Yong Zhu
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,9.硬岩板裂化及其锚固机制,类型：专著,作者：周辉;卢景景;张春生;陈建林
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,10.Analysis of stress evolution characteristics during TBM excavation in deep buried tunnels,类型：期刊论文,作者：Jiang Yue;Zhou Hui;Lu Jingjing;Gao Yang;Zhang Chuanqing;Chen Jun
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,11.高应力、高水压耦合作用下水工隧洞安全评价关键技术,类型：奖励,作者：张春生;刘宁;张传庆;周济芳;周辉;黄平平;雷添杰;张继勋;倪绍虎;褚卫江;高阳;彭鹏;陈平志;李翔宇;卢景景
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,12.Macro- and Microstructural Characteristics of the Tension-Shear and Compression-Shear Fracture of Granite,类型：期刊论文,作者：Chen Jun;Zhou Hui;Zeng Zhiquan;Lu Jingjing
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,13.Experimental study on the acoustic emission response and permeability evolution of tunnel lining concrete during deformation and failure,类型：期刊论文,作者：Shi Linken;Zhou Hui;Gao Yang;Lu Jingjing;Li Qiantao
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,14.实现卡机脱困的组合式TBM及卡机脱困掘进方法,类型：专利,作者：卢景景;龚春艳;周辉;张传庆;高阳;杨凡杰;朱勇;杨艳霜
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,卢景景,中国科学院武汉岩土力学研究所,15.等体积空孔直眼掏槽槽腔形成过程及其分析,类型：期刊论文,作者：柴修伟;李建国;习本军;徐亮;彭亚利;王文科;金胜利
