标题,g_li1,g_cont_left,g_cont_left4,g_cont_left5
"
							176.输送贴标机",外观设计 ,申请(专利权)人： 聚龙股份有限公司 ,分类号： 18-99(11) ,简要说明：1．本外观设计产品的名称：输送贴标机。2．本外观设计产品的用途：本外观设计产品用于纸币的输送、贴标。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							177.教学模拟卫星设备（立方星）",外观设计 ,申请(专利权)人： 北京超验极客教育科技有限公司 ,分类号： 19-07(11) ,简要说明：1．本外观设计产品的名称：教学模拟卫星设备（立方星）。2．本外观设计产品的用途：本外观设计产品用于卫星的教学使用。3．本外观设计产品的设计要点：在于产品的形状、结构及其组合。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							178.罐贴（茉莉花味）",外观设计 ,申请(专利权)人： 广州吉臣汽车护理用品有限公司 ,分类号： 19-08(11) ,简要说明：1.外观设计名称：罐贴(茉莉花味)。2.外观设计用途：本外观设计产品用于汽车喷蜡罐罐身的标贴。3.外观设计要点：产品图案。4.最能表明设计要点的图片或者照片：主视图。5.省略视图：本外观设计产品的其它视图无设计要点故省略。6.请求保护外观的设计包含色彩。
"
							179.瓶贴（草铵膦）",外观设计 ,申请(专利权)人： 浙江新安化工集团股份有限公司 ,分类号： 19-08(10) ,简要说明：1．本外观设计产品的名称：瓶贴（草铵膦）。2．本外观设计产品的用途：本外观设计产品用于产品包装。3．本外观设计产品的设计要点：产品图案及色彩的结合。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：其他视图无设计要点，故省略。6．请求保护的外观设计包含色彩。
"
							180.带图形用户界面的自动售票机",外观设计 ,申请(专利权)人： 大连现代高技术集团有限公司 ,分类号： 20-01(11);14-04(11) ,简要说明：1．本外观设计产品的名称：带图形用户界面的自动售票机。2．本外观设计产品的用途：本外观设计产品用于自动售卖车票的设备。3．本外观设计产品的设计要点：屏幕中的图形用户界面的界面内容。4．最能表明本外观设计设计要点的图片或照片：界面变化状态图1。5．界面用途：界面变化状态图为自动售票机购票功能的界面，点击界面变化状态图1中的圆形图标实现选站功能并切换到界面变化状态图2；点击界面变化状态图2中的取消图标返回界面变化状态图1，点击界面变化状态图2中的数字图标实现确定票数功能并切换到界面变化状态图3；点击界面变化状态图3中的取消图标返回界面变化状态图1，在界面变化状态图3状态下，在投币口投币后进入界面变化状态图4，自动售票机识别用户所投纸币或硬币；出票后进入界面变化状态图5，用户取走票卡和找零钱币后界面切换回界面变化状态图1。
"
							181.天车安全警示器",外观设计 ,申请(专利权)人： 张益强 ,分类号： 20-03(11) ,简要说明：1．本外观设计产品的名称：天车安全警示器。2．本外观设计产品的用途：本外观设计产品用于警示过往车辆的警示灯。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							182.扑克牌背板（1）",外观设计 ,申请(专利权)人： 应胜梅 ,分类号： 21-01(10) ,简要说明：1.本外观设计产品的名称：扑克牌背板(1)。2.本外观设计产品的用途：本外观设计产品用于休闲娱乐，是一种扑克牌的背面图案。3.本外观设计的设计要点：在于产品的形状、图案及色彩的结合。4.最能表明设计要点的图片或者照片：主视图。5.省略视图：其他视图无设计要点，故省略其他视图。6.请求保护的外观设计包含色彩。
"
							183.拼接玩具套件用的构造块",外观设计 ,申请(专利权)人： 美高品牌有限公司 ,分类号： 21-01(11) ,简要说明：1．本外观设计产品的名称：拼接玩具套件用的构造块。2．本外观设计产品的用途：本外观设计产品用于拼装玩具套件用的构造块，购买者或使用者可将不定数量且形状一致的构造块相互任意组装、插接或与其它构造块组合使用。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							184.玩具工程车",外观设计 ,申请(专利权)人： 郑礼深 ,分类号： 21-01(11) ,简要说明：1．本外观设计产品的名称：玩具工程车。2．本外观设计产品的用途：本外观设计产品用于儿童玩耍。3．本外观设计产品的设计要点：产品的整体形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图无设计要点，故省略。
"
							185.玩具（最后一炮VR坦克—双人座）",外观设计 ,申请(专利权)人： 深圳中青宝文化科技有限公司 ,分类号： 21-01(11) ,简要说明：1．本外观设计产品的名称：玩具（最后一炮VR坦克—双人座）。2．本外观设计产品的用途：本外观设计产品用于VR虚拟现实体验产品。3．本外观设计产品的设计要点：产品的形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							186.儿童三轮脚踏车",外观设计 ,申请(专利权)人： 石宪强 ,分类号： 21-01(11) ,简要说明：1．本外观设计产品的名称：儿童三轮脚踏车。2．本外观设计产品的用途：本外观设计产品用于供儿童骑行玩耍。3．本外观设计产品的设计要点：产品的整体形状设计。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图无设计要点，故省略仰视图。
"
							187.布偶（母鸡）",外观设计 ,申请(专利权)人： 四川国际标榜职业学院 ,分类号： 21-01(11) ,简要说明：1．本外观设计产品的名称：布偶（母鸡）。2．本外观设计产品的用途：本外观设计产品用于布偶玩具。3．本外观设计产品的设计要点：本产品的整体形状和图案的结合。4．最能表明本外观设计设计要点的图片或照片：立体图。5．其他：使用状态参考图为3个布偶（母鸡）串在一起的效果。
"
							188.双导向传动机构（圆形底）",外观设计 ,申请(专利权)人： 成都迈可森流体控制设备有限公司 ,分类号： 23-01(11) ,简要说明：1．本外观设计产品的名称：双导向传动机构（圆形底）。2．本外观设计产品的用途：本外观设计产品用于阀门的开关及开度调节。3．本外观设计产品的设计要点：本外观设计产品的设计要点在于产品的形状与结构。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图与俯视图相同，省略仰视图；后视图与主视图对称，省略后视图。
"
							189.花洒大七通龙头",外观设计 ,申请(专利权)人： 李玲琛 ,分类号： 23-01(11) ,简要说明：1．本外观设计产品的名称：花洒大七通龙头。2．本外观设计产品的用途：本外观设计产品用于控制水流量的水龙头。3．本外观设计产品的设计要点：在于产品的形状及图案的结合。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							190.水龙头（00405）",外观设计 ,申请(专利权)人： 颜扬志 ,分类号： 23-01(11) ,简要说明：1．本外观设计产品的名称：水龙头（00405）。2．本外观设计产品的用途：液体分配设备。3．本外观设计产品的设计要点：在于形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							191.箱式净水机",外观设计 ,申请(专利权)人： 青岛经济技术开发区海尔热水器有限公司 ,分类号： 23-01(11) ,简要说明：1．本外观设计产品的名称：箱式净水机。2．本外观设计产品的用途：本外观设计产品用作对自来水进行过滤、净化。3．本外观设计产品的设计要点：在于整体造型。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							192.空气能储热水箱",外观设计 ,申请(专利权)人： 山东华昇隆太阳能科技有限公司 ,分类号： 23-03(11) ,简要说明：1．本外观设计产品的名称：空气能储热水箱。2．本外观设计产品的用途：本外观设计产品用于空气能热水器的储水装置。3．本外观设计产品的设计要点：产品形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							193.香薰机",外观设计 ,申请(专利权)人： 屠云峰 ,分类号： 23-04(10) ,简要说明：1．本外观设计产品的名称：香薰机。2．本外观设计产品的用途：本外观设计产品用于将水、精油、药液等液体雾化扩散出来，起到加湿、杀菌消毒、净化空气、医疗保健等作用。3．本外观设计产品的设计要点：形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：右视图与左视图对称，故省略右视图。
"
							194.家用室内空气治理机（1）",外观设计 ,申请(专利权)人： 杭州象外环保科技有限公司 ,分类号： 23-04(11) ,简要说明：1．本外观设计产品的名称：家用室内空气治理机（1）。2．本外观设计产品的用途：本外观设计产品用于置于室内治理室内空气。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							195.便携式空气净化器(移动肺保)",外观设计 ,申请(专利权)人： 陈海飞 ,分类号： 23-04(10) ,简要说明：1．本外观设计产品的名称：便携式空气净化器(移动肺保)；2．本外观设计产品的用途：本外观设计产品用于个人随身空气净化；3．本外观设计产品的设计要点：产品整体设计；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							196.灯饰吊扇(大风量)",外观设计 ,申请(专利权)人： 佛山市顺德区进乐磁材有限公司 ,分类号： 23-04(11);26-05(11) ,简要说明：1．本外观设计产品的名称：灯饰吊扇(大风量)。2．本外观设计产品的用途：本外观设计产品用于对热的环境吹风降温。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：本外观设计的右视图与左视图相同、后视图与主视图相同，俯视图不常见，省略右视图、后视图、俯视图。
"
							197.橱窗式换气扇（LFWW‑09Y/13Y）",外观设计 ,申请(专利权)人： 温州劳芳电器有限公司 ,分类号： 23-04(11) ,简要说明：1．本外观设计产品的名称：橱窗式换气扇（LFWW‑09Y/13Y）。2．本外观设计产品的用途：本外观设计产品用于换气、排气通风装置。3．本外观设计产品的设计要点：产品的整体外观形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							198.空调挡风装置",外观设计 ,申请(专利权)人： 上海路美思电气有限公司 ,分类号： 23-04(11) ,简要说明：1．本外观设计产品的名称：空调挡风装置。2．本外观设计产品的用途：本外观设计产品用于改变空调吹风方向，避免空调风直吹人体。3．本外观设计产品的设计要点：产品形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图1。5．省略视图：设计1左视图和设计1右视图对称，设计2左视图和设计2右视图对称，故省略设计1右视图和设计2右视图。6．指定基本设计：设计1。
"
							199.带磁铁的可调整吹风角度的便携式充电风扇",外观设计 ,申请(专利权)人： 简帮强 ,分类号： 23-04(11) ,简要说明：1．本外观设计产品的名称：带磁铁的可调整吹风角度的便携式充电风扇。2．本外观设计产品的用途：本外观设计产品用于吹风散热防暑降温。3．本外观设计产品的设计要点：产品外形。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							200.具有光源的内窥镜视频处理设备",外观设计 ,申请(专利权)人： 广州南北电子科技有限公司 ,分类号： 24-01(11);26-05(11) ,简要说明：1．本外观设计产品的名称：具有光源的内窥镜视频处理设备。2．本外观设计产品的用途：本外观设计产品与摄像头一起使用，用于拍摄并传输内窥镜检查或微创手术中的影像，产品本身还带有照明功能。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							201.牙齿美白仪",外观设计 ,申请(专利权)人： 霞丽屋有限公司 ,分类号： 24-01(10) ,简要说明：1．本外观设计产品的名称：牙齿美白仪。2．本外观设计产品的用途：本外观设计产品用于人体牙齿美白。3．本外观设计产品的设计要点：在于其形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							202.传感器植入装置（弹力式）",外观设计 ,申请(专利权)人： 南通九诺医疗科技有限公司 ,分类号： 24-02(10) ,简要说明：1．本外观设计产品的名称：传感器植入装置（弹力式）。2．本外观设计产品的用途：本外观设计产品用于将生物传感器植入皮下组织。3．本外观设计产品的设计要点：造型设计。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：后视图与主视图对称，故省略后视图。
"
							203.采血笔",外观设计 ,申请(专利权)人： 北京甘甘科技有限公司 ,分类号： 24-02(10) ,简要说明：1．本外观设计产品的名称：采血笔。2．本外观设计产品的用途：本外观设计产品主要用于采血。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							204.吸入器",外观设计 ,申请(专利权)人： 益得生物科技股份有限公司 ,分类号： 24-04(11) ,简要说明：1．本外观设计产品的名称：吸入器。2．本外观设计产品的用途：用作医疗装置。3．本外观设计的设计要点：在于产品的形状。4．最能表明设计要点的图片或者照片：立体图。5．使用状态仰视图与仰视图相同，省略使用状态仰视图。
"
							205.绣花机玻璃台板",外观设计 ,申请(专利权)人： 浙江绅仕镭集团有限公司 ,分类号： 25-01(10) ,简要说明：1．本外观设计产品的名称：绣花机玻璃台板。2．本外观设计产品的用途：本外观设计产品用于绣花机上面的玻璃台板。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：左视图，右视图，俯视图，仰视图。
"
							206.电子门禁（6）",外观设计 ,申请(专利权)人： 特斯联（北京）科技有限公司 ,分类号： 25-02(11) ,简要说明：1．本外观设计产品的名称：电子门禁（6）。2．本外观设计产品的用途：本外观设计产品用于家庭室内，办公场所和楼宇的门禁。3．本外观设计产品的设计要点：整体形状和图案。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：此产品安装时背贴于墙上，省略后视图。
"
							207.折叠悬浮门门柱（01）",外观设计 ,申请(专利权)人： 温贵 ,分类号： 25-02(10) ,简要说明：1．本外观设计产品的名称：折叠悬浮门门柱（01）。2．本外观设计产品的用途：用于折叠悬浮门的感应门柱。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。5．本外观设计产品，主视图、后视图对称，省略后视图。6．本外观设计产品，左视图、右视图对称，省略右视图。7．本外观设计产品，俯视图、仰视图无设计要点，省略俯视图、仰视图。
"
							208.冰箱面板（绮玉）",外观设计 ,申请(专利权)人： 合肥晶弘电器有限公司 ,分类号： 25-02(11) ,简要说明：1．本外观设计产品的名称：冰箱面板（绮玉）。2．本外观设计产品的用途：本外观设计产品用于安装在冰箱门体上。3．本外观设计产品的设计要点：在于外观设计的图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：其他视图无设计要点，省略其它视图。
"
							209.路灯灯头",外观设计 ,申请(专利权)人： 吴启泉 ,分类号： 26-03(10) ,简要说明：1．本外观设计产品的名称：路灯灯头。2．本外观设计产品的用途：本外观设计产品用于室外照明。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							210.路灯（博扬）",外观设计 ,申请(专利权)人： 李桂胜 ,分类号： 26-03(10) ,简要说明：1．本外观设计产品的名称：路灯（博扬）。2．本外观设计产品的用途：本外观设计产品用于照明领域。3．本外观设计产品的设计要点：主视图。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							211.感应开关LED玉米灯",外观设计 ,申请(专利权)人： 天津溢德行科技有限公司;南通溢德行工业科技有限公司;上海溢德行工业科技有限公司 ,分类号： 26-04(11) ,简要说明：感应开关LED玉米灯。主要应用：所有家居、宾馆、学校、医院、工厂、高顶棚等的室内照明。设计要点是指与现有设计相区别的产品的形状。最能表明设计要点的图片是立体图1。因对称，省略俯视图、仰视图、后视图。
"
							212.灯丝灯",外观设计 ,申请(专利权)人： 漳州立达信光电子科技有限公司 ,分类号： 26-04(11) ,简要说明：1．本外观设计产品的名称：灯丝灯。2．本外观设计产品的用途：本外观设计产品用于照明领域。3．本外观设计产品的设计要点：产品的整体形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							213.胸前灯",外观设计 ,申请(专利权)人： 山田电器工业株式会社 ,分类号： 26-05(10) ,简要说明：1．本外观设计产品的名称：胸前灯。2．本外观设计产品的用途：本外观设计产品用作胸前灯，例如在钓鱼、登山时，悬挂在脖颈上，利用圆柱状电池壳体的电能点亮设置于其下方的光源部以照亮前方。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							214.台灯（BL‑1363狗型）",外观设计 ,申请(专利权)人： 麦锦华 ,分类号： 26-05(11) ,简要说明：1．本外观设计产品的名称：台灯（BL‑1363狗型）；2．本外观设计产品的用途：本外观设计产品用于照明；3．本外观设计产品的设计要点：整体造型；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							215.落地灯（Choker）",外观设计 ,申请(专利权)人： 周宇宸 ,分类号： 26-05(11) ,简要说明：1．本外观设计产品的名称：落地灯（Choker）。2．本外观设计产品的用途：本外观设计产品用于照明。3．本外观设计产品的设计要点：外观设计。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							216.车灯（圆形）",外观设计 ,申请(专利权)人： 杨文攀 ,分类号： 26-06(11) ,简要说明：1、本外观设计产品的名称：车灯(圆形)；2、本外观设计产品的用途：用于照明；3、本外观设计产品的设计要点：在于该产品的形状及其设计；4、最能表明本外观设计设计要点的图片或照片：立体图。
"
							217.前大灯卡座（享驭LED‑HID‑XY07)",外观设计 ,申请(专利权)人： 戴新保 ,分类号： 26-06(11) ,简要说明：1．本外观设计产品的名称：前大灯卡座（享驭LED‑HID‑XY07）；2．本外观设计产品的用途：本外观设计产品用于灯座支撑或者加固卡扣；3．本外观设计产品的设计要点：在于产品的形状；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							218.电弧打火机",外观设计 ,申请(专利权)人： 鲍裕渊 ,分类号： 27-05(11) ,简要说明：1.本外观设计产品的名称：电弧打火机。2.本外观设计产品的用途：打火。3.本外观设计的设计要点：外观轮廓。4.最能表明设计要点的图片或者照片：立体图。
"
							219.烫发器（HC‑6403）",外观设计 ,申请(专利权)人： 浙江美森电器有限公司 ,分类号： 28-03(11) ,简要说明：1．本外观设计产品的名称：烫发器（HC‑6403）。2．本外观设计产品的用途：本外观设计产品用于美发烫发。3．本外观设计产品的设计要点：形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							220.理发剪",外观设计 ,申请(专利权)人： 杨滨 ,分类号： 28-03(11) ,简要说明：1、该外观设计名称为理发剪。2、用途为用于理发的工具。3、设计要点为形状。4、代表性视图为主视图。5、左视图与右视图对称，省略左视图。
"
							221.激光脱毛器（TB‑1755）",外观设计 ,申请(专利权)人： 周鄂林 ,分类号： 28-03(11) ,简要说明：1．本外观设计产品的名称：激光脱毛器（TB‑1755）。2．本外观设计产品的用途：本外观设计产品用于脱毛。3．本外观设计产品的设计要点：形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							222.多功能美容器主体",外观设计 ,申请(专利权)人： 熊建新 ,分类号： 28-03(11) ,简要说明：1．本外观设计产品的名称：多功能美容器主体。2．本外观设计产品的用途：本外观设计产品用于多功能美容器的主体。3．本外观设计产品的设计要点：如外观设计中产品形状所示。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							223.宠物喂食器",外观设计 ,申请(专利权)人： 深圳市派佳宜技术有限公司 ,分类号： 30-03(10) ,简要说明：1．本外观设计产品的名称：宠物喂食器。2．本外观设计产品的用途：本外观设计产品用于盛装宠物的食物，给宠物喂食。3．本外观设计产品的设计要点：在于产品的整体形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．图中所示A部件为透明材质。
"
							224.独立搅拌器主体(004)",外观设计 ,申请(专利权)人： 湖北运动人杯壶制造有限公司 ,分类号： 31-00(11) ,简要说明：1．本外观设计产品的名称：独立搅拌器主体(004)。2．本外观设计产品的用途：用于配合其他组件后电动切削搅拌杯中水果或饮品。3．本外观设计产品的设计要点：产品的形状、图案。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							225.绞肉机（HE6006）",外观设计 ,申请(专利权)人： 深圳市格耐电器有限公司 ,分类号： 31-00(11) ,简要说明：1.本外观设计产品的名称：绞肉机（HE6006）。2.本外观设计产品的用途：用于烹饪过程中的绞肉。3.本外观设计的设计要点：产品的整体外观结构。4.最能表明设计要点的图片或照片：立体图。5.其他视图无设计要点，故省略。
"
							226.盒子",外观设计 ,申请(专利权)人： 张伟 ,分类号： 09-03(10) ,简要说明：1.外观设计产品的名称为：盒子。2.本外观设计的用途：用于药品的包装。3.主要设计要点：在于产品的形状、图案及其结合。4.主视图最能体现表明设计要点。
"
							227.医用接驳机器人",外观设计 ,申请(专利权)人： 苏州市艾信物联网技术有限公司 ,分类号： 24-01(10) ,简要说明：1、外观设计产品的名称：医用接驳机器人。2、外观设计产品的用途：用于搬运物件。3、外观设计的设计要点：整体形状。4、最能表明设计要点的图片：立体图。
"
							228.吉祥物（海天彩灯-欢欢乐乐）",外观设计 ,申请(专利权)人： 自贡市海天文化传播有限公司 ,分类号： 11-02(10) ,简要说明：1．本外观设计产品的名称：吉祥物（海天彩灯-欢欢乐乐）。2．本外观设计产品的用途：本外观设计产品用于装饰及摆饰。3．本外观设计产品的设计要点：在于产品的形状、图案以及结合。4．最能表明本外观设计设计要点的图片或照片：设计1主视图。5．指定基本设计：设计1。
"
							229.椅子（2）",外观设计 ,申请(专利权)人： 黄文恭 ,分类号： 06-01(10) ,简要说明：1．本外观设计产品的名称：椅子（2）。2．本外观设计产品的用途：本外观设计产品用于日常坐。3．本外观设计产品的设计要点：产品款式。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：其他视图无设计要点，故省略。
"
							230.盖头（YZCG）",外观设计 ,申请(专利权)人： 武汉苏泊尔炊具有限公司 ,分类号： 07-02(10) ,简要说明：1．本外观设计产品的名称：盖头（YZCG）。2．本外观设计产品的用途：本外观设计产品用于盖子上的盖头。3．本外观设计产品的设计要点：形状，尤其在于俯视图上手柄的形状。4．最能表明本外观设计设计要点的图片或照片：设计1的立体图。5．省略视图：设计1、2的后视图与主视图对称，故省略。6．指定基本设计：设计1。
"
							231.配管用支撑部件",外观设计 ,申请(专利权)人： 彦山敦 ,分类号： 08-08(10) ,简要说明：1．本外观设计产品的名称：配管用支撑部件。2．本外观设计产品的用途：支撑配管。3．本外观设计产品的设计要点：配管用支撑部件的外形。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：后视图与主视图相同，省略后视图；左视图与右视图相同，省略左视图。
"
							232.刀柄（17189）",外观设计 ,申请(专利权)人： 林进忠 ,分类号： 08-99(11) ,简要说明：1．本外观设计产品的名称：刀柄（17189）。2．本外观设计产品的用途：本外观设计产品用于抓握。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：本外观设计的左视图和右视图无设计要点，故省略左视图和右视图。
"
							233.包装瓶",外观设计 ,申请(专利权)人： 广西百利乐生物科技有限公司 ,分类号： 09-01(10) ,简要说明：1．本外观设计产品的名称：包装瓶。2．本外观设计产品的用途：本外观设计产品用于饮料包装瓶。3．本外观设计产品的设计要点：在于产品的形状、图案及色彩的结合。4．最能表明本外观设计设计要点的图片或照片：立体图。5．请求保护的外观设计包含色彩。
"
							234.电气火灾控制单元（WEFPJ）",外观设计 ,申请(专利权)人： 施耐德万高(天津)电气设备有限公司 ,分类号： 10-05(11) ,简要说明：1．本外观设计产品的名称：电气火灾控制单元（WEFPJ）；2．本外观设计产品的用途：本外观设计产品用于电气火灾控制；3．本外观设计产品的设计要点：产品的外形；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							235.按钮开关",外观设计 ,申请(专利权)人： 欧姆龙株式会社 ,分类号： 13-03(10) ,简要说明：1、本外观设计产品的名称：按钮开关。2、本外观设计产品的用途：本外观设计产品用于使控制设备等启动、停止，切换控制设备等的动作模式等。3、本外观设计产品的设计要点：如设计1立体图以及设计2立体图所示的形状。4、最能表明本外观设计设计要点的图片或照片：设计1立体图。5、指定基本设计：设计1。6、设计1左视图与设计1右视图对称，故省略设计1左视图；设计2左视图与设计2右视图对称，故省略设计2左视图。
"
							236.集控箱",外观设计 ,申请(专利权)人： 曹文彬 ,分类号： 13-03(10) ,简要说明：1、本外观设计产品的名称:集控箱；2、本外观设计产品的用途：用于智能家居集控设备安装；3、本外观设计产品的设计要点：本产品的形状；4、最能表明本外观设计设计要点的图片或照片：立体图。
"
							237.手机后壳",外观设计 ,申请(专利权)人： 珠海市魅族科技有限公司 ,分类号： 14-03(10) ,简要说明：1．本外观设计产品的名称：手机后壳。2．本外观设计产品的用途：本外观设计产品用于手机后壳。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5．省略视图：设计1后视图、设计2后视图不常见，故省略。6．指定基本设计：设计1为基本设计。
"
							238.带有图形用户界面的手机（秘阵）",外观设计 ,申请(专利权)人： 大连秘阵科技有限公司 ,分类号： 14-03(10);14-04(10) ,简要说明：1．本外观设计产品的名称：带有图形用户界面的手机（秘阵）。2．本外观设计产品的用途：本外观设计产品用于运行程序、程序操作以及通讯。3．本外观设计产品的设计要点：屏幕中的图形用户界面的界面内容。4．最能表明本外观设计设计要点的图片或照片：主视图。5．界面用途：界面变化状态图1为键盘输入秘阵安全密码功能的界面，点击界面变化状态图1中的“全屏输入”文字或图标，进入界面变化状态图2，点击界面变化状态图1中的密码按钮之外的阵列表区域，进入界面变化状态图2，点击界面变化状态图1中的“语音输入”文字或图标，进入界面变化状态图3；界面变化状态图2为全屏输入秘阵安全密码功能的界面，点击界面变化状态图2下部的 “键盘输入”文字或图标，进入界面变化状态图1，点击界面变化状态图2下部的“清空密码”文字或图标，清空密码输入框中已输入的密码，点击界面变化状态图2下部的“语音输入”文字或图标，进入界面变化状态图3；界面变化状态图3为语音输入秘阵安全密码功能的界面，点击界面变化状态图3下部的麦克风图标实现语音输入秘阵安全密码功能，点击界面变化状态图3中部的“安全键盘”文字或图标，进入界面变化状态图1，点击界面变化状态图1中部的“全屏输入”文字或图标，进入界面变化状态图2。
"
							239.用于机床的控制用图形用户界面",外观设计 ,申请(专利权)人： 三菱电机株式会社 ,分类号： 15-09(10);14-04(10) ,简要说明：1．本外观设计产品的名称：用于机床的控制用图形用户界面。2．本外观设计产品的用途：用于显示控制机床的设定画面等。3．本外观设计的设计要点：图形用户界面。4．指定设计2为三个相似外观设计的基本设计。5．最能表明设计要点的图片或者照片：设计2主视图。
"
							240.智能拾音博士帽",外观设计 ,申请(专利权)人： 北京光年无限科技有限公司 ,分类号： 15-99(11) ,简要说明：1．本外观设计产品的名称：智能拾音博士帽。2．本外观设计产品的用途：本外观设计产品用于机器人。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：省略左视图、右视图和后视图；仰视图因不常见而省略。
"
							241.玩具（安抚投影汽车）",外观设计 ,申请(专利权)人： 蔡骏 ,分类号： 21-01(11) ,简要说明：1．本外观设计产品的名称：玩具（安抚投影汽车）。2．本外观设计产品的用途：本外观设计产品用于玩具。3．本外观设计产品的设计要点：在于产品的整体造型。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							242.龙头把手",外观设计 ,申请(专利权)人： 科勒公司 ,分类号： 23-01(11) ,简要说明：1．本外观设计产品的名称：龙头把手。2．本外观设计产品的用途：用于厨卫设备。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							243.血液辐照仪（单X射线源）",外观设计 ,申请(专利权)人： 珠海丽珠试剂股份有限公司 ,分类号： 24-01(11) ,简要说明：1．本外观设计产品的名称：血液辐照仪（单X射线源）；2．本外观设计产品的用途：本外观设计产品用于血液制品的辐照；3．本外观设计产品的设计要点：在于产品的形状；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							244.悬浮式可拼接地板",外观设计 ,申请(专利权)人： 四川蓉诚华塑高分子材料有限公司 ,分类号： 25-02(10) ,简要说明：1．本外观设计产品的名称：悬浮式可拼接地板。2．本外观设计产品的用途：本外观设计产品用于体育运动场所、健身场所。3．本外观设计产品的设计要点：本外观设计的形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							245.前组合灯（汽车用）",外观设计 ,申请(专利权)人： 本田技研工业株式会社 ,分类号： 26-06(10) ,简要说明：1．本外观设计产品的名称：前组合灯（汽车用）。2．本外观设计产品的用途：本外观设计产品安装于汽车头部，用于照明及示警。3．本外观设计产品的设计要点：整体形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							246.指甲钳（带放大镜不锈钢）",外观设计 ,申请(专利权)人： 李辉 ,分类号： 28-03(11) ,简要说明：1．本外观设计产品的名称：指甲钳（带放大镜不锈钢）。2．本外观设计产品的用途：本外观设计产品用于剪指甲。3．本外观设计产品的设计要点：在于产品的外形。4．最能表明本外观设计设计要点的图片或照片：主视图。
